Citizen ID,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_10,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30
C57105,CENTAUR,$91 ,"$1,520 ",$322 ,$46 ,$190 ,1,111,9,188,2,Others,3,4,18-24,1,0,0,10,0.9,3,MBA,2,,,,2,,,
C57106,ODYSSEY,$355 ,"$2,146 ",$69 ,$45 ,$147 ,7,58,4,66,2,Others,3,3,25-35,1,1,5,32,0.1,1,primary,1,,,11,16,4,,
C57107,COSMOS,"$1,724 ","$2,019 ",$386 ,$50 ,$193 ,10,190,11,63,2,Others,3,1,25-35,1,0,1,48,0.4,2,MBA,,,,,3,3,,
C57108,CENTAUR,$10 ,$15 ,$25 ,$40 ,$100 ,,,,,,Others,3,5,45-55,0,1,4,5,0.5,3,primary,2,,,6,11,3,,
C57109,COSMOS,$19 ,$149 ,$25 ,$43 ,$140 ,1,5,0,81,1,Others,3,2,18-24,0,0,1,48,0.4,2,primary,1,,,6,17,10,,
C57110,CENTAUR,$320 ,$160 ,$28 ,$40 ,"$1,402 ",6,5,1,112,0,Others,3,1,55+,1,0,4,13,0.9,1,primary,5,,,,5,,,
C57111,CENTAUR,$542 ,"$2,023 ",$53 ,$106 ,$193 ,31,112,2,109,8,Others,3,2,35-45,0,1,1,48,0.7,4,MBA,2,,,,2,,,
C57112,COSMOS,$10 ,$15 ,$25 ,$40 ,$100 ,0,0,0,0,0,Others,3,5,35-45,0,1,0,44,0.3,2,primary,,,,2,4,2,,
C57113,CENTAUR,"$1,018 ",$837 ,$169 ,$42 ,$128 ,9,49,6,27,2,Others,3,5,55+,0,1,5,48,0.2,2,primary,2,,,,2,,,
C57114,EBONY,$10 ,$328 ,$47 ,$40 ,$117 ,0,24,3,38,0,Others,3,4,35-45,1,0,3,48,0.5,5,primary,,,,,2,2,,
C57115,CENTAUR,$613 ,$460 ,$310 ,$86 ,"$1,330 ",1,50,7,477,13,Others,3,4,18-24,1,1,3,5,0.9,1,primary,3,,,,3,,,
C57116,CENTAUR,$10 ,$318 ,$47 ,$82 ,$311 ,0,32,2,379,12,Others,3,5,25-35,0,0,2,11,0.6,3,MBA,12,,,1,13,,,
C57117,COSMOS,$14 ,$232 ,$25 ,$85 ,$165 ,2,27,0,119,7,Others,3,4,45-55,0,0,4,11,0.1,3,primary,,,,3,7,4,,
C57118,EBONY,$30 ,$92 ,$25 ,$47 ,$134 ,1,15,0,34,5,Others,3,4,25-35,1,0,4,40,0.5,5,primary,2,,,8,30,20,,
C57119,COSMOS,$10 ,$113 ,$25 ,$42 ,$153 ,0,17,0,37,8,Others,3,3,18-24,0,1,3,32,0.1,5,primary,,,,9,22,13,,
C57120,COSMOS,$10 ,$15 ,$25 ,$40 ,$103 ,0,0,0,4,0,Others,3,3,35-45,1,0,3,13,0.8,2,primary,,,,3,6,3,,
C57121,ODYSSEY,$260 ,$329 ,$369 ,$44 ,$101 ,6,16,18,4,1,Others,3,2,35-45,1,0,4,41,0.2,4,primary,,,,,0,,,
C57122,TOKUGAWA,$218 ,$15 ,$40 ,$40 ,$114 ,1,0,1,20,0,Others,3,2,45-55,1,0,2,29,0.2,2,MBA,1,,,1,4,2,,
C57123,ODYSSEY,"$4,492 ","$1,273 ","$1,459 ",$46 ,$139 ,62,100,74,82,2,Others,3,5,35-45,1,1,0,5,0.3,3,primary,,,,1,9,8,,
C57124,COSMOS,$22 ,$15 ,$26 ,$40 ,$135 ,1,0,1,28,0,Others,3,5,35-45,1,0,1,20,0.3,3,primary,,,,5,9,4,,
C57125,CENTAUR,$590 ,$419 ,$25 ,$60 ,$176 ,10,73,0,79,9,Others,3,4,45-55,1,1,3,36,0.1,2,primary,1,,,,1,,,
C57126,COSMOS,$10 ,$15 ,$25 ,$40 ,$116 ,0,0,0,21,0,Others,3,4,35-45,0,1,3,48,0.4,2,primary,,,,4,7,3,,
C57127,COSMOS,$10 ,$21 ,$25 ,$40 ,$159 ,0,1,0,70,0,Others,3,1,45-55,0,0,3,43,0.7,3,primary,,,,6,12,6,,
C57128,TOKUGAWA,$21 ,$836 ,$262 ,$54 ,$185 ,4,113,2,186,8,Others,3,3,35-45,0,1,4,29,0.2,4,primary,8,,1,,16,7,,
C57129,CENTAUR,$129 ,$630 ,$28 ,$40 ,$187 ,1,56,1,192,1,Others,3,4,25-35,1,1,4,9,0.5,5,primary,,,,,0,,,
C57130,ODYSSEY,$10 ,$163 ,$67 ,$42 ,$168 ,0,9,2,83,1,Others,3,2,55+,0,0,4,39,0.6,4,primary,,,,,6,6,,
C57131,TOKUGAWA,$419 ,"$1,456 ",$952 ,$40 ,$341 ,24,182,20,179,0,Others,3,2,45-55,1,0,0,31,0.2,2,primary,25,,9,,34,,,
C57132,COSMOS,$233 ,$252 ,$38 ,$78 ,$147 ,5,8,1,23,6,Others,3,2,35-45,1,0,2,20,0.8,2,primary,,,,7,11,4,,
C57133,COSMOS,$239 ,"$1,260 ",$610 ,$43 ,$223 ,9,350,11,275,3,Others,3,2,25-35,0,1,1,34,0.5,3,primary,,,,2,3,1,,
C57134,TOKUGAWA,$10 ,$15 ,$25 ,$40 ,$103 ,0,0,0,1,0,Others,3,3,35-45,0,1,4,49,1,3,primary,25,,,34,74,15,,
C57135,ODYSSEY,$491 ,$992 ,$45 ,$118 ,$520 ,8,41,1,90,8,Others,3,3,18-24,1,1,4,40,0.7,4,primary,,,,16,35,19,,
C57136,TOKUGAWA,$66 ,$206 ,$25 ,$40 ,$117 ,1,24,0,25,0,Others,3,2,55+,0,0,2,8,0.7,1,primary,,,,,4,4,,
C57137,CENTAUR,"$1,350 ",$463 ,$134 ,$51 ,$213 ,22,50,7,263,4,Others,3,2,55+,0,1,2,1,0.6,1,primary,8,,,,10,2,,
C57138,TOKUGAWA,$853 ,$233 ,$67 ,$42 ,$174 ,11,10,4,100,1,Others,3,2,45-55,1,1,1,29,0.6,5,primary,5,,,1,6,,,
C57139,CENTAUR,"$1,058 ",$15 ,$25 ,$40 ,$110 ,39,0,0,20,0,Others,3,2,35-45,1,1,3,7,0.9,4,primary,2,,,2,4,,,
C57140,COSMOS,"$1,166 ","$2,559 ",$565 ,$113 ,$795 ,38,94,17,103,10,Others,3,3,35-45,1,1,1,22,0.2,1,primary,3,,,,3,,,
C57141,COSMOS,$10 ,$39 ,$25 ,$49 ,$143 ,0,1,0,64,3,Others,3,2,35-45,1,1,1,27,1,3,primary,,,,11,14,3,,
C57142,TOKUGAWA,$10 ,$635 ,$215 ,$61 ,$221 ,0,103,1,262,11,Others,3,4,55+,0,1,0,28,0.7,1,primary,10,,3,,13,,,
C57143,ODYSSEY,$336 ,$293 ,$109 ,$69 ,$566 ,1,18,5,291,10,Others,3,1,18-24,1,1,4,41,0.5,3,primary,,,,10,19,9,,
C57144,CENTAUR,$726 ,$906 ,$233 ,$106 ,$335 ,16,40,6,272,19,Others,3,3,18-24,0,1,3,22,0.6,4,MBA,2,,,,2,,,
C57145,TOKUGAWA,$10 ,$202 ,$60 ,$65 ,$152 ,0,18,4,86,12,Others,3,4,25-35,0,1,1,14,0.5,2,MBA,6,,1,10,17,,,
C57146,EBONY,$10 ,"$1,643 ",$25 ,$40 ,$171 ,0,86,0,115,0,Others,3,1,45-55,0,1,4,29,0.7,3,primary,,,,,0,,,
C57147,EBONY,$60 ,$15 ,$45 ,$45 ,$138 ,1,0,2,62,3,Others,3,3,18-24,0,1,1,8,0.2,4,primary,1,,,8,13,4,,
C57148,COSMOS,$10 ,$15 ,$25 ,$40 ,$110 ,0,0,0,39,0,Others,3,2,45-55,0,0,3,48,0.8,4,MBA,,,,2,4,2,,
C57149,EBONY,$10 ,$347 ,$25 ,$40 ,$111 ,0,1,0,1,0,Others,3,2,25-35,0,0,0,15,0.4,5,primary,1,,,11,18,6,,
C57150,CENTAUR,$129 ,$924 ,$295 ,$66 ,$203 ,2,119,9,168,6,Others,3,4,55+,1,1,4,7,0.2,4,primary,4,,,,4,,,
C57151,COSMOS,$10 ,$73 ,$25 ,$67 ,$126 ,0,7,0,43,5,Others,3,5,18-24,0,0,2,15,0.5,3,primary,,,,8,12,4,,
C57152,COSMOS,$10 ,$326 ,$51 ,$108 ,$130 ,0,40,1,50,17,Others,3,2,18-24,0,0,4,2,0.4,2,primary,,,,2,2,,,
C57153,CENTAUR,$113 ,$256 ,$51 ,$165 ,$227 ,3,14,1,51,3,Others,3,4,45-55,1,1,5,12,0.9,3,MBA,1,,,,1,,,
C57154,ODYSSEY,$10 ,"$1,063 ",$124 ,$50 ,$292 ,0,65,8,77,4,Others,3,1,45-55,0,1,4,10,0.8,1,primary,3,,,,6,3,,
C57155,CENTAUR,$80 ,$308 ,$92 ,$40 ,$201 ,4,20,5,86,0,Others,3,3,25-35,1,1,4,38,0.9,5,primary,1,,,,1,,,
C57156,CENTAUR,$10 ,"$1,749 ",$38 ,$40 ,$157 ,0,57,3,110,0,Others,3,2,45-55,0,0,5,22,0.8,1,primary,6,,,,9,3,,
C57157,CENTAUR,$436 ,$985 ,$208 ,$75 ,$272 ,5,110,8,282,16,Others,3,4,55+,1,1,3,9,0.9,4,primary,,,,9,11,2,,
C57158,COSMOS,"$2,616 ","$1,002 ","$2,007 ",$40 ,$508 ,68,62,34,116,0,Others,3,3,25-35,0,1,2,13,0.1,3,MBA,25,,,6,57,26,,
C57159,COSMOS,$10 ,$15 ,$25 ,$40 ,$101 ,0,0,0,3,0,Others,3,4,25-35,0,0,4,5,0.7,2,MBA,,,,2,4,2,,
C57160,CENTAUR,$65 ,$796 ,$43 ,$65 ,$186 ,1,54,1,116,10,Others,3,4,55+,0,0,4,4,0.7,3,primary,2,,,,2,,,
C57161,ODYSSEY,$212 ,$115 ,$69 ,$128 ,$225 ,2,12,2,83,3,Others,3,4,35-45,1,1,2,16,0.7,2,primary,4,,,1,6,1,,
C57162,ODYSSEY,$10 ,$150 ,$25 ,$132 ,$159 ,0,25,0,137,43,Others,3,3,55+,1,0,2,33,0.4,1,primary,7,,,7,17,3,,
C57163,CENTAUR,$10 ,$15 ,$25 ,$40 ,$100 ,,,,,,Others,3,4,35-45,0,1,0,14,0.4,3,primary,2,,,,26,24,,
C57164,COSMOS,$10 ,$64 ,$25 ,$58 ,$119 ,0,5,0,36,8,Others,3,4,25-35,1,0,2,27,0.7,4,primary,,,,3,21,18,,
C57165,COSMOS,$171 ,$259 ,$162 ,$69 ,$210 ,1,21,6,200,7,Others,3,4,45-55,1,0,2,42,0.5,4,primary,,,,23,41,18,,
C57166,CENTAUR,$10 ,$93 ,$25 ,$40 ,$137 ,0,7,0,72,0,Others,3,1,45-55,0,0,2,43,0.4,1,primary,1,,,,1,,,
C57167,ODYSSEY,$10 ,$296 ,$66 ,$61 ,$621 ,0,36,1,303,5,Others,3,3,18-24,0,1,3,30,0.4,2,primary,3,,,5,11,3,,
C57168,COSMOS,$385 ,$76 ,$425 ,$47 ,$266 ,11,4,12,202,4,Others,3,2,45-55,1,0,1,7,0.9,5,MBA,,,,3,14,11,,
C57169,COSMOS,$10 ,$20 ,$25 ,$43 ,$101 ,0,2,0,4,2,Others,3,3,35-45,0,0,3,38,0.5,2,primary,,,,1,3,2,,
C57170,COSMOS,$10 ,$15 ,$25 ,$45 ,$102 ,0,0,0,6,1,Others,3,3,18-24,1,1,2,20,0.4,5,primary,,,,1,6,5,,
C57171,COSMOS,$254 ,$497 ,$47 ,$40 ,$158 ,9,17,2,90,0,Others,3,2,55+,1,1,0,46,0.6,3,primary,1,,,,1,,,
C57172,EBONY,$10 ,$131 ,$79 ,$68 ,$152 ,0,5,4,83,8,Others,3,1,55+,0,1,1,29,0.2,2,primary,,,,5,9,4,,
C57173,CENTAUR,$186 ,"$1,049 ",$36 ,$144 ,$251 ,2,184,5,335,32,Others,3,2,45-55,0,0,2,37,0.3,4,primary,,,,1,1,,,
C57174,EBONY,$603 ,$505 ,$25 ,$63 ,$155 ,12,31,0,89,11,Others,3,4,45-55,0,0,3,44,0.4,2,primary,,,,6,9,3,,
C57175,ODYSSEY,$220 ,$395 ,$36 ,$45 ,$256 ,5,28,1,243,2,Others,3,3,25-35,0,1,3,40,0.1,4,primary,25,,7,,33,1,,
C57176,COSMOS,$284 ,$395 ,$87 ,$113 ,$582 ,10,43,3,274,12,Others,3,4,45-55,0,1,2,7,0.8,2,primary,,,,,0,,,
C57177,ODYSSEY,$670 ,$598 ,$353 ,$52 ,$233 ,28,20,6,109,4,Others,3,1,25-35,0,0,0,11,0.4,3,primary,22,,3,8,57,24,,
C57178,CENTAUR,$587 ,$15 ,$25 ,$42 ,$109 ,21,0,0,6,1,Others,3,3,45-55,0,1,1,33,1,3,primary,3,,,,3,,,
C57179,CENTAUR,$39 ,$123 ,$25 ,$110 ,$186 ,2,10,0,197,37,Others,3,5,55+,0,1,1,30,0.8,1,primary,2,,,,2,,,
C57180,EBONY,$10 ,$345 ,$51 ,$45 ,$113 ,0,23,2,15,1,Others,3,5,25-35,0,1,5,27,1,4,primary,,,,1,4,3,,
C57181,ODYSSEY,$10 ,$364 ,$25 ,$40 ,$123 ,0,13,0,20,0,Others,3,5,45-55,1,0,3,24,0.5,4,primary,,,,,3,3,,
C57182,TOKUGAWA,$55 ,$938 ,$897 ,$55 ,$158 ,6,75,49,95,2,Others,3,2,45-55,1,0,2,6,0.6,5,MBA,25,,8,,33,,,
C57183,CENTAUR,$302 ,"$1,654 ","$1,297 ",$149 ,$454 ,21,103,8,339,24,Others,3,2,25-35,1,0,3,14,0.8,5,primary,3,,,,3,,,
C57184,ODYSSEY,$469 ,"$1,282 ",$276 ,$65 ,$312 ,12,85,6,205,4,Others,3,4,18-24,0,1,1,37,0.5,5,MBA,,,,,0,,,
C57185,ODYSSEY,$10 ,$26 ,$67 ,$171 ,$153 ,0,1,3,40,4,Others,3,2,35-45,0,1,0,42,0.7,1,MBA,,,,7,11,4,,
C57186,ODYSSEY,$92 ,$572 ,$93 ,$54 ,$283 ,10,32,6,328,2,Others,3,4,35-45,1,0,3,18,0.5,4,primary,,,,2,6,4,,
C57187,CENTAUR,$577 ,"$1,663 ",$103 ,$63 ,$463 ,19,53,9,169,4,Others,3,2,35-45,0,1,3,31,0.3,4,primary,3,2,,2,26,19,,
C57188,CENTAUR,$694 ,$206 ,$262 ,$42 ,$247 ,4,25,10,55,1,Others,3,2,18-24,1,0,1,23,0.3,2,primary,3,,,,3,,,
C57189,CENTAUR,$976 ,"$1,533 ",$953 ,$98 ,$306 ,17,73,20,347,19,Others,3,4,45-55,0,0,4,13,0.3,3,MBA,,,,,0,,,
C57190,CENTAUR,$534 ,$818 ,$25 ,$93 ,$274 ,5,40,0,279,12,Others,3,1,35-45,0,1,3,9,1,4,primary,,,,,0,,,
C57191,CENTAUR,$10 ,$61 ,$34 ,$42 ,$134 ,0,9,1,50,2,Others,3,3,45-55,1,1,2,49,0.3,3,primary,1,,,,1,,,
C57192,TOKUGAWA,$54 ,$350 ,$27 ,$71 ,$311 ,2,60,1,235,4,Others,3,3,45-55,1,1,4,40,0.6,3,primary,,,,,1,1,,
C57193,COSMOS,$10 ,$30 ,$25 ,$49 ,$110 ,0,1,0,15,3,Others,3,3,35-45,1,1,2,25,0.1,4,primary,,,,17,22,5,,
C57194,CENTAUR,$131 ,$37 ,$93 ,$46 ,$124 ,2,2,4,29,3,Others,3,2,25-35,1,0,5,49,0.4,1,primary,4,,,,4,,,
C57195,ODYSSEY,$165 ,$15 ,$42 ,$40 ,$260 ,1,0,1,101,0,Others,3,3,55+,0,0,1,18,0.9,5,primary,8,,,7,35,20,,
C57196,EBONY,$10 ,$118 ,$37 ,$57 ,$148 ,0,18,2,74,6,Others,3,5,35-45,0,0,5,34,0.4,2,primary,,,,12,16,4,,
C57197,CENTAUR,"$1,019 ",$651 ,$166 ,$86 ,$227 ,16,99,6,382,16,Others,3,3,25-35,1,1,5,6,0.4,4,primary,3,6,,,9,,,
C57198,ODYSSEY,"$2,805 ",$710 ,$139 ,$40 ,$159 ,18,10,5,23,0,Others,3,5,55+,1,0,2,36,0.5,3,primary,2,,,3,12,7,,
C57199,EBONY,$10 ,$15 ,$25 ,$40 ,$103 ,0,0,0,6,0,Others,3,5,25-35,0,0,3,8,0.1,2,primary,,,,,2,2,,
C57200,CENTAUR,$71 ,$378 ,$126 ,$100 ,$214 ,1,64,5,186,22,Others,3,3,25-35,0,1,1,7,0.6,4,primary,,,,,0,,,
C57201,COSMOS,$10 ,$71 ,$98 ,$40 ,$100 ,0,2,3,0,0,Others,3,3,25-35,1,0,2,16,0.8,5,primary,,,,1,3,2,,
C57202,ODYSSEY,$11 ,"$1,072 ",$63 ,$113 ,$171 ,1,214,2,156,45,Others,3,2,45-55,1,0,3,12,0.9,3,primary,4,,,3,21,14,,
C57203,COSMOS,$10 ,$430 ,$55 ,$47 ,$143 ,0,34,7,101,2,Others,3,5,25-35,1,1,3,43,0.8,3,primary,,,,9,16,7,,
C57204,ODYSSEY,$10 ,$273 ,$70 ,$144 ,$373 ,0,39,1,138,49,Others,3,2,25-35,1,0,1,3,0.7,5,MBA,,,,1,13,12,,
C57205,ODYSSEY,$200 ,"$1,007 ",$84 ,$82 ,$204 ,5,178,3,303,20,Others,3,1,35-45,0,1,4,6,0.7,4,primary,1,,,1,5,3,,
C57206,COSMOS,$711 ,"$1,994 ",$823 ,$114 ,$199 ,8,67,30,118,17,Others,3,5,35-45,0,0,1,26,0.4,2,primary,,,,3,6,3,,
C57207,ODYSSEY,$74 ,$183 ,$25 ,$40 ,$248 ,3,12,0,168,0,Others,3,4,25-35,1,1,1,2,1,4,primary,1,,,,8,7,,
C57208,CENTAUR,$67 ,$880 ,$50 ,$58 ,$341 ,4,53,2,149,1,Others,3,2,45-55,0,0,4,25,0.7,3,primary,,,,3,9,6,,
C57209,CENTAUR,$71 ,$554 ,$36 ,$48 ,$209 ,1,20,4,245,4,Others,3,3,45-55,0,1,3,31,0.8,3,primary,2,,,,2,,,
C57210,CENTAUR,"$1,483 ",$235 ,$28 ,$49 ,$264 ,9,14,1,25,2,Others,3,5,25-35,1,1,0,49,0.9,2,primary,2,,,,2,,,
C57211,COSMOS,$67 ,$187 ,$25 ,$40 ,$150 ,1,10,0,22,0,Others,3,3,55+,1,1,1,9,0.2,1,primary,,,,10,13,3,,
C57212,CENTAUR,$447 ,"$1,077 ",$121 ,$71 ,$227 ,18,147,5,216,12,Others,3,3,45-55,1,1,5,40,0.9,2,primary,,,,,0,,,
C57213,TOKUGAWA,$567 ,$110 ,$137 ,$50 ,$274 ,18,9,4,142,6,Others,3,4,25-35,0,0,1,14,0.7,2,MBA,,,,1,1,,,
C57214,EBONY,$10 ,$28 ,$25 ,$44 ,$108 ,0,1,0,12,1,Others,3,2,35-45,0,0,4,43,0.3,1,primary,,,,2,5,3,,
C57215,ODYSSEY,$709 ,$598 ,"$1,267 ",$43 ,$127 ,13,170,87,103,5,Others,3,2,25-35,1,1,4,15,0.5,3,primary,,,,4,7,3,,
C57216,COSMOS,"$1,936 ","$1,271 ","$1,044 ",$57 ,$408 ,33,92,17,214,4,Others,3,2,45-55,0,0,0,10,0.9,3,primary,,,,2,4,2,,
C57217,COSMOS,$39 ,$242 ,$64 ,$42 ,$120 ,4,11,3,32,1,Others,3,2,18-24,0,1,4,37,0.8,2,primary,,,,14,18,4,,
C57218,CENTAUR,$126 ,$890 ,$212 ,$96 ,"$1,261 ",2,92,4,621,17,Others,3,5,45-55,1,1,5,13,0.7,2,primary,6,,,,6,,,
C57219,CENTAUR,$373 ,$70 ,$25 ,$77 ,$158 ,6,5,0,119,17,Others,3,2,55+,0,0,4,7,0.5,2,MBA,1,,,,1,,,
C57220,TOKUGAWA,$55 ,"$3,903 ",$99 ,$45 ,$200 ,1,194,10,145,2,Others,3,1,18-24,1,0,4,45,0.2,1,primary,,,,1,2,1,,
C57221,CENTAUR,$153 ,$596 ,$67 ,$160 ,$133 ,6,73,4,116,49,Others,3,2,45-55,1,0,2,19,0.5,1,primary,,,,,0,,,
C57222,COSMOS,$320 ,$145 ,$147 ,$57 ,$121 ,19,20,11,22,7,Others,3,4,18-24,1,1,2,5,0.6,1,primary,,,,,0,,,
C57223,CENTAUR,$339 ,$77 ,$105 ,$40 ,$106 ,9,2,3,4,0,Others,3,3,25-35,0,1,1,21,0.1,3,primary,1,,,,1,,,
C57224,TOKUGAWA,$10 ,$498 ,$25 ,$40 ,$104 ,0,9,0,2,0,Others,3,5,35-45,1,1,1,26,0.9,4,primary,2,,,,3,1,,
C57225,ODYSSEY,$926 ,$708 ,$303 ,$40 ,$124 ,26,32,13,11,0,Others,3,4,35-45,0,1,0,10,0.5,3,primary,2,,,,3,1,,
C57226,TOKUGAWA,$10 ,$51 ,$27 ,$47 ,$156 ,0,7,1,114,5,Others,3,4,55+,1,1,2,28,0.3,5,primary,,,,,0,,,
C57227,CENTAUR,$296 ,$234 ,$252 ,$47 ,$116 ,3,14,8,36,1,Others,3,3,45-55,1,0,2,47,0.6,3,primary,,,,,0,,,
C57228,TOKUGAWA,$608 ,$932 ,$620 ,$49 ,$202 ,22,124,47,96,8,Others,3,4,35-45,0,0,2,29,0.4,2,primary,1,,,,1,,,
C57229,ODYSSEY,$10 ,$687 ,$53 ,$110 ,$270 ,0,38,2,176,16,Others,3,4,55+,0,0,2,19,0.7,3,primary,6,,,1,8,1,,
C57230,CENTAUR,$574 ,$160 ,$34 ,$40 ,$134 ,6,15,2,30,0,Others,3,4,35-45,0,1,0,11,0.5,1,primary,8,,2,,10,,,
C57231,CENTAUR,$10 ,$394 ,$187 ,$51 ,$380 ,0,22,5,163,3,Others,3,5,35-45,0,0,4,21,0.4,3,primary,4,,,,4,,,
C57232,EBONY,$10 ,$114 ,$27 ,$443 ,$292 ,0,15,1,128,37,Others,3,3,25-35,0,0,1,2,0.4,3,primary,,,,5,11,6,,
C57233,COSMOS,$10 ,$930 ,$25 ,$62 ,$138 ,0,200,0,70,4,Others,3,2,35-45,1,0,2,38,0.9,2,primary,1,,,1,2,,,
C57234,COSMOS,$10 ,$329 ,$102 ,$68 ,$155 ,0,20,4,113,13,Others,3,3,18-24,1,1,2,41,0.7,4,primary,,,,13,25,12,,
C57235,CENTAUR,$10 ,$627 ,$25 ,$41 ,$230 ,0,104,0,302,1,Others,3,1,35-45,0,0,2,28,0.1,5,primary,2,,,,2,,,
C57236,TOKUGAWA,$80 ,$139 ,$25 ,$41 ,$109 ,1,14,0,23,1,Others,3,2,45-55,0,0,5,42,0.6,3,primary,20,,8,3,31,,,
C57237,CENTAUR,$478 ,$276 ,$88 ,$65 ,$237 ,5,33,4,142,7,Others,3,4,45-55,0,0,4,15,0.8,3,primary,5,,,,5,,,
C57238,COSMOS,$10 ,$15 ,$25 ,$45 ,$119 ,0,0,0,21,1,Others,3,2,18-24,0,1,3,28,0.1,4,MBA,,,,1,3,2,,
C57239,ODYSSEY,$10 ,$15 ,$25 ,$40 ,$100 ,,,,,,Others,3,2,35-45,1,0,2,18,0.5,4,MBA,,,,5,15,10,,
C57240,CENTAUR,$513 ,"$1,906 ",$279 ,$99 ,$251 ,15,116,11,330,26,Others,3,1,18-24,1,1,1,35,0.9,5,primary,2,,,,2,,,
C57241,CENTAUR,$707 ,$354 ,$247 ,$48 ,$121 ,24,28,12,55,4,Others,3,2,18-24,0,0,4,7,0.2,3,primary,,,,,0,,,
C57242,CENTAUR,"$20,084 ","$20,462 ","$15,477 ",$277 ,"$3,105 ",372,835,408,1124,33,Others,3,4,18-24,0,1,1,25,0.3,3,primary,7,,,4,11,,,
C57243,COSMOS,$181 ,"$1,847 ",$476 ,$48 ,$177 ,6,93,5,46,2,Others,3,4,35-45,1,0,3,34,0.3,2,primary,,,,5,9,4,,
C57244,COSMOS,$10 ,$15 ,$25 ,$40 ,$109 ,0,0,0,27,0,Others,3,3,25-35,0,0,4,28,0.4,2,primary,,,,1,3,2,,
C57245,CENTAUR,$189 ,$169 ,$197 ,$40 ,$109 ,4,5,5,10,0,Others,3,3,25-35,0,0,4,4,0.1,3,primary,,,,,0,,,
C57246,EBONY,"$1,760 ",$336 ,$642 ,$40 ,$104 ,18,34,26,11,0,Others,3,2,35-45,1,0,5,2,0.8,3,primary,,,,7,23,16,,
C57247,CENTAUR,$182 ,$140 ,$576 ,$45 ,$129 ,8,7,4,14,2,Others,3,1,18-24,1,1,0,26,0.6,3,MBA,2,,,,2,,,
C57248,COSMOS,$10 ,$65 ,$93 ,$71 ,$511 ,0,16,1,353,19,Others,3,3,45-55,0,1,4,6,0.9,4,MBA,,,,,0,,,
C57249,COSMOS,$10 ,$15 ,$25 ,$40 ,$106 ,0,0,0,7,0,Others,3,3,25-35,0,0,3,32,0.3,3,primary,,,,5,7,2,,
C57250,EBONY,$10 ,$39 ,$25 ,$45 ,$113 ,0,5,0,42,3,Others,3,2,25-35,0,0,2,18,0.5,1,primary,,,,5,7,2,,
C57251,CENTAUR,$888 ,$859 ,$717 ,$137 ,$521 ,16,29,22,242,18,Others,3,3,25-35,1,1,2,24,0.7,5,primary,4,,1,,5,,,
